#{"t_start": 1692018644.9276133, "env_id": null}
r,l,t
-200.0,28,17.64301
-240.0,30,17.660132
-180.0,27,17.704408
-440.0,40,17.716972
-140.0,25,17.726602
-540.0,45,17.758405
-520.0,44,17.777745
-460.0,41,17.788628
-180.0,27,17.804053
-400.0,38,17.83677
-220.0,29,17.855861
-120.0,24,17.870544
-580.0,47,17.889683
-120.0,24,17.901985
-100.0,23,17.963356
20.0,17,17.963482
-60.0,21,17.984305
-280.0,32,18.015956
-520.0,44,18.035731
20.0,17,18.061291
20.0,17,18.061504
-1010.0,67,18.081656
40.0,16,18.093089
20.0,17,18.112528
-80.0,22,18.146564
-400.0,38,18.156835
-200.0,28,18.17197
-200.0,28,18.188936
-200.0,28,18.241003
-320.0,34,18.241101
0.0,18,18.257403
100.0,13,18.294807
-20.0,19,18.332531
-480.0,42,18.3326
-860.0,61,18.332633
-140.0,25,18.364339
-760.0,56,18.39196
-80.0,22,18.424988
-260.0,31,18.437494
-160.0,26,18.449949
-80.0,22,18.465293
-180.0,27,18.465618
40.0,16,18.514952
-160.0,26,18.533951
-220.0,29,18.555906
-340.0,35,18.568398
0.0,18,18.575875
-380.0,37,18.592834
-760.0,56,18.610306
40.0,16,18.642866
40.0,16,18.660802
0.0,18,18.675618
-40.0,20,18.697615
-460.0,41,18.717791
-220.0,29,18.73916
-40.0,20,18.786887
-420.0,39,18.799616
-20.0,19,18.812706
-280.0,32,18.829316
-620.0,49,18.862046
-600.0,48,18.880797
-20.0,19,18.901055
0.0,18,18.933499
-240.0,30,18.96064
-320.0,34,18.972498
-80.0,22,18.98824
-80.0,22,19.011223
40.0,16,19.04039
-60.0,21,19.056226
-480.0,42,19.073735
-540.0,45,19.115425
-220.0,29,19.115477
-440.0,40,19.147384
-100.0,23,19.147445
-300.0,33,19.183928
-260.0,31,19.198003
-100.0,23,19.220643
-40.0,20,19.241233
-120.0,24,19.2691
-300.0,33,19.282405
-20.0,19,19.300716
20.0,17,19.307848
-180.0,27,19.319995
-300.0,33,19.335692
-180.0,27,19.351611
-180.0,27,19.376009
-20.0,19,19.418123
-300.0,33,19.436854
-220.0,29,19.460737
-300.0,33,19.460835
-40.0,20,19.482558
-160.0,26,19.500863
-40.0,20,19.536126
-80.0,22,19.550246
-80.0,22,19.563371
-160.0,26,19.598243
-60.0,21,19.633513
-60.0,21,19.648384
-160.0,26,19.666132
-560.0,46,19.684268
100.0,13,19.693965
-140.0,25,19.704787
0.0,18,19.726653
-1020.0,69,19.75119
60.0,15,19.797851
-180.0,27,19.814227
-420.0,39,19.842002
-320.0,34,19.857223
0.0,18,19.900374
100.0,13,19.9132
80.0,14,19.934696
-100.0,23,19.934773
-640.0,50,19.952958
-780.0,57,19.990176
20.0,17,20.011357
-200.0,28,20.038524
-320.0,34,20.062452
-400.0,38,20.062503
-500.0,43,20.079834
-100.0,23,20.092952
-140.0,25,20.162326
-180.0,27,20.173571
-700.0,53,20.205244
-260.0,31,20.217725
-660.0,51,20.251662
-560.0,46,20.282688
-300.0,33,20.302972
-320.0,34,20.329826
-160.0,26,20.329961
120.0,12,20.364852
-260.0,31,20.373483
-200.0,28,20.401038
60.0,15,20.401089
120.0,12,20.401112
20.0,17,20.447794
-60.0,21,20.476816
-280.0,32,20.502703
-400.0,38,20.524303
-580.0,47,20.536275
-420.0,39,20.562958
-140.0,25,20.584403
-20.0,19,20.603399
-160.0,26,20.618442
100.0,13,20.62843
-80.0,22,20.668124
40.0,16,20.682002
-40.0,20,20.699318
-160.0,26,20.709271
40.0,16,37.638031
-140.0,25,37.65273
-720.0,54,37.662551
-240.0,30,37.694977
-340.0,35,37.707765
-20.0,19,37.725117
-100.0,23,37.758723
-1040.0,70,37.781286
20.0,17,37.793483
-120.0,24,37.813056
-360.0,36,37.850489
-120.0,24,37.878784
-680.0,52,37.878864
-100.0,23,37.8789
-80.0,22,37.898836
-120.0,24,37.945564
-100.0,23,37.945632
