#{"t_start": 1693318771.3041766, "env_id": null}
r,l,t
230,86,12.844448
-215,54,13.065765
435,45,13.255244
520,28,13.39182
540,24,13.472858
560,20,13.568777
525,27,13.698768
565,19,13.770076
325,67,14.056069
495,33,14.204062
595,13,14.260774
535,25,14.377713
550,22,14.512113
585,15,14.591829
510,30,14.728491
535,25,14.837138
595,13,14.890736
430,46,15.103348
420,48,15.317066
565,19,15.39305
540,24,15.49284
555,21,15.600219
500,32,15.771477
410,50,15.988631
545,23,16.090755
505,31,16.237788
205,80,16.578543
280,65,16.870896
535,25,16.976075
495,33,17.092186
500,32,17.208998
525,27,17.314569
590,14,17.387005
535,25,17.509795
540,24,17.633019
555,21,17.734532
550,22,17.882696
580,16,17.984401
585,15,18.05345
565,19,18.165921
445,43,18.441746
580,16,18.508456
555,21,18.623235
540,24,18.761019
530,26,18.939909
585,15,19.039717
560,20,19.168727
555,21,19.273242
550,22,19.413205
545,23,19.560494
555,21,19.702872
555,21,19.861822
575,17,19.985286
450,42,20.229197
575,17,20.344014
455,41,20.597147
520,28,20.749357
575,17,20.841788
555,21,20.946439
490,34,21.106889
580,16,21.177905
565,19,21.282539
520,28,21.452141
580,16,21.535111
400,52,21.819782
585,15,21.912459
530,26,22.085824
560,20,22.209601
590,14,22.286585
585,15,22.367582
540,24,22.502106
595,13,22.558883
550,22,22.657416
540,24,33.831248
460,40,33.972136
465,39,34.140401
525,27,34.275763
525,27,34.396556
595,13,34.453967
595,13,34.526917
520,28,34.647541
575,17,34.740215
580,16,34.826185
515,29,34.953577
530,26,35.062531
575,17,35.151548
510,30,35.280712
575,17,35.336339
445,43,35.525162
530,26,35.650417
575,17,35.738863
540,24,35.833614
440,44,36.051425
580,16,36.132996
395,53,36.356887
515,29,36.465056
460,40,36.637521
545,23,36.738583
500,32,36.870368
555,21,36.959982
505,31,37.085095
510,30,37.218255
570,18,37.319721
355,61,37.70808
570,18,37.824111
515,29,37.982583
585,15,38.075344
595,13,38.184893
545,23,38.311066
565,19,38.447676
565,19,38.553216
475,37,38.803636
535,25,38.943294
510,30,39.106256
425,47,39.400125
450,42,39.619335
565,19,39.753374
410,50,40.033511
530,26,40.191795
580,16,40.306231
570,18,40.420482
560,20,40.526374
520,28,40.683619
560,20,40.798786
515,29,40.973921
-220,55,41.251506
515,29,41.40655
370,58,41.688897
580,16,41.813209
560,20,41.951689
520,28,42.132823
470,38,42.399997
600,12,42.494232
535,25,42.622258
575,17,42.745112
550,22,42.886622
575,17,42.969619
540,24,43.072667
595,13,43.161107
545,23,43.281124
470,38,43.450349
310,70,43.815439
565,19,43.901144
440,44,44.054384
575,17,44.145733
580,16,44.21066
560,20,44.30839
335,65,55.087588
535,25,55.178015
510,30,55.338085
560,20,55.427834
600,12,55.496562
495,33,55.656931
550,22,55.757964
500,32,55.895065
540,24,55.997898
440,44,56.194928
580,16,56.274066
540,24,56.37929
570,18,56.482095
585,15,56.579827
550,22,56.68871
565,19,56.81093
510,30,56.990212
585,15,57.062256
560,20,57.179882
585,15,57.268871
525,27,57.424467
545,23,57.568066
545,23,57.71843
505,31,57.890104
430,46,58.136174
555,21,58.221131
570,18,58.322329
575,17,58.431689
535,25,58.591444
535,25,58.74981
525,27,58.919066
515,29,59.113904
545,23,59.218316
525,27,59.376955
455,41,59.548864
595,13,59.654352
485,35,59.836114
565,19,59.986666
565,19,60.064652
530,26,60.246463
450,42,60.473473
540,24,60.627805
450,42,60.894847
535,25,61.028135
590,14,61.118546
585,15,61.206016
445,43,61.410484
510,30,61.598846
555,21,61.726038
520,28,61.913459
490,34,62.092426
555,21,62.21466
530,26,62.362953
555,21,62.493309
580,16,62.571117
550,22,62.668341
595,13,62.726532
565,19,62.854249
420,48,63.11002
515,29,63.203617
535,25,63.306252
580,16,63.383083
570,18,63.469735
