#{"t_start": 1693318771.3068664, "env_id": null}
r,l,t
510,30,12.62017
530,26,12.704349
515,29,12.830905
450,42,13.007335
345,63,13.28399
525,27,13.403574
510,30,13.523427
595,13,13.588308
565,19,13.673047
495,33,13.814166
565,19,13.884749
585,15,13.956419
590,14,14.006545
560,20,14.109166
555,21,14.187778
530,26,14.315603
545,23,14.429174
555,21,14.547392
525,27,14.675532
505,31,14.80863
540,24,14.91971
495,33,15.063844
575,17,15.149119
380,56,15.377132
595,13,15.449165
565,19,15.532445
585,15,15.60843
575,17,15.698467
525,27,15.836791
360,60,16.09591
585,15,16.165212
585,15,16.227714
565,19,16.318777
540,24,16.421902
465,39,16.589092
545,23,16.706354
490,34,16.830459
525,27,16.956738
385,55,17.159971
545,23,17.242929
500,32,17.377482
585,15,17.438733
500,32,17.616792
540,24,17.743549
480,36,17.955681
280,76,18.412422
-210,53,18.679367
590,14,18.794534
510,30,18.991886
580,16,19.093159
545,23,19.217381
555,21,19.330451
540,24,19.500036
475,37,19.740739
600,12,19.828815
565,19,19.967222
520,28,20.136595
-250,61,20.51439
565,19,20.640348
570,18,20.717698
530,26,20.873188
560,20,20.975392
445,43,21.160784
445,43,21.423687
585,15,21.501965
565,19,21.606532
560,20,21.71844
515,29,21.862148
600,12,21.961086
555,21,22.097772
585,15,22.187019
530,26,22.328651
520,28,22.472436
545,23,22.602581
575,17,22.668879
585,15,22.725444
525,27,33.887549
580,16,33.955697
510,30,34.074551
570,18,34.16134
600,12,34.215143
530,26,34.347284
535,25,34.463471
460,40,34.652803
540,24,34.774193
545,23,34.8815
505,31,35.015279
560,20,35.115439
570,18,35.190207
-215,54,35.406507
555,21,35.5072
360,60,35.785089
570,18,35.869906
515,29,36.016846
465,39,36.20764
585,15,36.261702
555,21,36.345019
565,19,36.418914
470,38,36.555803
500,32,36.713659
465,39,36.882186
530,26,36.990113
555,21,37.071176
500,32,37.206778
520,28,37.372295
565,19,37.487883
555,21,37.619182
555,21,37.746085
505,31,37.930653
310,70,38.400825
495,33,38.59605
