#{"t_start": 1693318771.306494, "env_id": null}
r,l,t
515,29,12.611757
515,29,12.715576
550,22,12.809461
545,23,12.911787
560,20,12.984697
570,18,13.073138
560,20,13.161435
520,28,13.275256
570,18,13.357801
475,37,13.503035
520,28,13.63549
280,65,13.913097
545,23,14.011751
435,45,14.211968
560,20,14.303754
565,19,14.394633
595,13,14.47127
585,15,14.557224
600,12,14.625872
570,18,14.691666
575,17,14.767499
555,21,14.860863
-205,52,15.093325
585,15,15.173536
515,29,15.285756
485,35,15.440395
570,18,15.521446
500,32,15.687279
585,15,15.756134
530,26,15.888987
505,31,16.014801
555,21,16.124394
560,20,16.198952
545,23,16.305079
495,33,16.45021
455,41,16.640668
545,23,16.738732
510,30,16.853227
570,18,16.931804
565,19,17.009456
530,26,17.109162
310,70,17.391134
515,29,17.536587
545,23,17.649573
370,58,18.001247
535,25,18.114644
555,21,18.258987
410,50,18.542309
525,27,18.662227
585,15,18.780587
560,20,18.917617
510,30,19.112553
355,61,19.46578
555,21,19.618491
555,21,19.754902
530,26,19.921591
500,32,20.145503
535,25,20.30061
560,20,20.415523
580,16,20.523964
585,15,20.615783
505,31,20.789156
480,36,20.966646
445,43,21.15401
575,17,21.255225
410,50,21.554725
565,19,21.663943
430,46,21.9009
585,15,22.021636
450,42,22.267312
570,18,22.35695
545,23,22.486338
515,29,22.626611
340,64,33.940086
555,21,34.016731
570,18,34.104031
565,19,34.192006
580,16,34.281821
480,36,34.436455
490,34,34.599137
565,19,34.707712
560,20,34.802999
565,19,34.887571
405,51,35.125329
525,27,35.233638
565,19,35.311532
555,21,35.373138
540,24,35.493658
575,17,35.58162
540,24,35.695593
505,31,35.825127
555,21,35.93719
520,28,36.064321
590,14,36.148261
495,33,36.279518
520,28,36.392985
460,40,36.535567
495,33,36.696362
425,47,36.899745
595,13,36.944291
575,17,37.021152
580,16,37.090298
565,19,37.154482
560,20,37.257927
480,36,37.475152
565,19,37.602512
470,38,37.846689
535,25,37.995519
535,25,38.162139
575,17,38.273204
525,27,38.455932
535,25,38.584821
520,28,38.763307
450,42,39.004485
590,14,39.082433
540,24,39.23006
545,23,39.383839
550,22,39.494335
530,26,39.660618
455,41,39.889535
595,13,39.978318
465,39,40.205481
520,28,40.38754
525,27,40.558996
520,28,40.71171
510,30,40.897982
440,44,41.092455
550,22,41.224009
540,24,41.34517
515,29,41.490599
465,39,41.701922
575,17,41.83528
540,24,41.992133
500,32,42.196503
585,15,42.306419
440,44,42.58406
585,15,42.676912
565,19,42.793171
565,19,42.930613
570,18,43.002374
535,25,43.12163
580,16,43.218558
580,16,43.303418
495,33,43.468063
555,21,43.591665
585,15,43.649504
555,21,43.759691
575,17,43.831199
480,36,43.980506
515,29,44.088662
505,31,44.231788
550,22,44.336268
505,31,54.962787
535,25,55.072193
575,17,55.14711
560,20,55.236492
550,22,55.347313
580,16,55.414517
565,19,55.517827
515,29,55.665852
520,28,55.792597
535,25,55.887394
585,15,55.948882
595,13,56.013413
555,21,56.113991
480,36,56.283858
595,13,56.339332
530,26,56.463671
565,19,56.591124
525,27,56.71991
545,23,56.877898
385,55,57.190599
470,38,57.39649
585,15,57.478422
545,23,57.632588
590,14,57.734436
580,16,57.810156
530,26,57.966944
430,46,58.191149
510,30,58.353734
590,14,58.444761
575,17,58.546228
530,26,58.701456
555,21,58.844589
550,22,58.973801
590,14,59.054633
335,65,59.421496
480,36,59.599632
555,21,59.716127
540,24,59.86529
585,15,59.971614
370,58,60.309779
580,16,60.40888
520,28,60.54255
410,50,60.879569
560,20,60.987919
590,14,61.082642
445,43,61.286048
480,36,61.511755
510,30,61.679966
430,46,61.96893
530,26,62.111323
390,54,62.446066
310,70,62.769333
530,26,62.92184
565,19,63.021915
470,38,63.176754
520,28,63.290571
555,21,63.39541
450,42,63.585294
435,45,63.812233
565,19,63.875815
575,17,63.961389
565,19,64.051282
530,26,64.156057
505,31,64.315413
515,29,64.416066
570,18,64.524072
545,23,64.616819
530,26,64.721177
565,19,64.816796
575,17,64.883658
555,21,64.983961
525,27,65.097698
580,16,65.162053
580,16,65.247005
555,21,65.342539
555,21,65.452851
405,51,76.512694
515,29,76.668926
550,22,76.866742
505,31,77.079
510,30,77.230927
575,17,77.342131
590,14,77.410424
570,18,77.498084
590,14,77.579434
530,26,77.717062
585,15,77.800817
420,48,78.048244
575,17,78.156298
500,32,78.388904
595,13,78.477277
590,14,78.549318
465,39,78.731392
430,46,78.995376
530,26,79.158616
540,24,79.258268
550,22,79.360825
245,72,79.768252
575,17,79.892142
490,34,80.047224
575,17,80.165474
530,26,80.316111
570,18,80.402733
580,16,80.490995
475,37,80.730844
425,47,80.980125
565,19,81.09753
540,24,81.198514
560,20,81.322964
410,50,81.617017
570,18,81.746255
545,23,81.863277
525,27,82.025153
550,22,82.159103
540,24,82.313274
515,29,82.455296
530,26,82.563716
455,41,82.723445
305,71,83.003177
585,15,83.079307
565,19,83.168727
595,13,83.232278
480,36,83.38153
240,73,83.688214
550,22,83.806614
510,30,83.942432
600,12,84.007735
520,28,84.132447
570,18,84.221908
565,19,84.308333
295,62,84.579584
575,17,84.662132
590,14,84.731959
580,16,84.801473
495,33,84.939878
575,17,85.004413
590,14,85.083163
380,56,85.350785
585,15,85.433609
555,21,85.522818
555,21,85.613441
585,15,85.668268
385,55,85.88613
560,20,86.011696
560,20,86.139996
550,22,86.250312
535,25,86.371705
570,18,86.450747
565,19,86.559508
535,25,86.677404
565,19,86.774242
580,16,86.84393
580,16,86.921214
335,65,99.491592
500,32,99.675159
525,27,99.831556
565,19,99.917423
595,13,100.010012
545,23,100.154752
555,21,100.290807
575,17,100.404711
565,19,100.521041
575,17,100.631993
430,46,100.849242
585,15,100.923693
545,23,101.087073
270,67,101.462545
585,15,101.546659
500,32,101.742837
420,48,101.992947
530,26,102.100052
575,17,102.180833
280,65,102.457293
525,27,102.564491
515,29,102.69118
510,30,102.800828
560,20,102.885823
