#{"t_start": 1693318771.3057616, "env_id": null}
r,l,t
535,25,108.319211
545,23,108.431982
555,21,108.514207
555,21,108.619605
530,26,108.72858
565,19,108.797809
520,28,122.598893
510,30,122.740297
550,22,122.866024
565,19,122.943368
495,33,123.081153
570,18,123.161952
575,17,123.224699
565,19,123.301493
580,16,123.359352
465,39,123.513149
360,60,123.759148
555,21,123.851939
560,20,123.963213
425,47,124.149508
555,21,124.233572
540,24,124.362728
500,32,124.521611
540,24,124.6241
455,41,124.808205
540,24,124.904855
425,47,125.095082
570,18,125.178283
590,14,125.235267
480,36,125.378493
600,12,125.426491
515,29,125.540052
565,19,125.652809
265,68,125.942594
570,18,126.031318
560,20,126.128768
565,19,126.235035
355,61,126.501221
545,23,126.615703
500,32,126.782602
410,50,126.970728
530,26,127.079729
545,23,127.167641
450,42,127.328259
555,21,127.420436
475,37,127.58952
560,20,127.701515
490,34,127.866925
470,38,128.050359
505,31,128.187107
550,22,128.275467
580,16,128.349307
560,20,128.451558
595,13,128.511415
540,24,128.609257
505,31,128.755156
430,46,128.959726
580,16,129.044996
355,61,129.297426
515,29,129.407193
575,17,129.508879
500,32,129.648974
505,31,129.798106
550,22,129.892293
595,13,129.953343
585,15,130.03125
565,19,130.098934
455,41,130.253623
595,13,130.326814
570,18,130.406295
465,39,130.597921
510,30,130.725973
530,26,130.84337
520,28,130.94877
550,22,131.065878
565,19,131.161035
480,36,131.319506
550,22,131.413754
430,46,145.4988
500,32,145.611415
410,50,145.824183
500,32,145.950692
460,40,146.162712
600,12,146.23194
540,24,146.335949
530,26,146.462424
570,18,146.546219
570,18,146.648964
550,22,146.750315
375,57,146.998788
575,17,147.064605
585,15,147.144119
380,56,147.355468
590,14,147.420928
-205,52,147.615902
435,45,147.806898
580,16,147.879845
560,20,148.020624
375,57,148.268361
475,37,148.419159
580,16,148.494345
535,25,148.615983
555,21,148.705581
540,24,148.808414
530,26,148.934415
400,52,149.166345
240,73,149.459196
575,17,149.537529
540,24,149.652354
500,32,149.76889
430,46,149.972623
570,18,150.059775
570,18,150.147462
520,28,150.278035
550,22,150.366196
560,20,150.43258
575,17,150.488232
545,23,150.581606
510,30,150.700179
555,21,150.794135
575,17,150.867233
540,24,150.987623
550,22,151.081187
375,57,151.34702
585,15,151.394754
530,26,151.532018
450,42,151.720398
585,15,151.791007
555,21,151.872409
540,24,151.989671
470,38,152.171039
560,20,152.22861
545,23,152.318772
545,23,152.411543
585,15,152.476929
555,21,152.560433
435,45,152.762379
570,18,152.857045
300,72,153.166773
520,28,153.267227
560,20,153.346129
300,72,153.639947
595,13,153.694324
475,37,153.840642
535,25,153.936822
585,15,154.004196
490,34,154.146644
575,17,154.231848
400,52,168.117307
480,36,168.26454
555,21,168.348317
530,26,168.45472
375,57,168.678857
495,33,168.813196
365,59,169.042667
565,19,169.127965
590,14,169.187115
485,35,169.313185
595,13,169.366324
510,30,169.513267
425,47,169.677256
505,31,169.813634
465,39,169.971699
550,22,170.060251
510,30,170.192204
555,21,170.290361
520,28,170.414533
485,35,170.552428
505,31,170.716366
565,19,170.782112
505,31,170.932034
500,32,171.097504
