#{"t_start": 1693318771.3061259, "env_id": null}
r,l,t
455,41,12.654174
490,34,12.777541
530,26,12.900152
500,32,13.030055
565,19,13.119309
480,36,13.265928
555,21,13.371421
485,35,13.509297
405,51,13.730182
595,13,13.797544
450,42,13.973018
540,24,14.074259
560,20,14.157918
550,22,14.252165
505,31,14.415074
590,14,14.494391
425,47,14.71483
485,35,14.874465
555,21,14.964238
580,16,15.029791
560,20,15.134693
495,33,15.270751
295,62,15.55387
520,28,15.704517
580,16,15.788405
525,27,15.905882
590,14,15.962454
550,22,16.052144
450,42,16.258779
565,19,16.342617
585,15,16.398737
510,30,16.517723
555,21,16.623252
595,13,16.6859
560,20,16.773519
475,37,16.920088
460,40,17.071284
470,38,17.219491
495,33,17.354944
570,18,17.424942
520,28,17.588493
525,27,17.71317
560,20,17.840225
570,18,17.941205
530,26,18.089953
560,20,18.216034
580,16,18.309284
510,30,18.485846
425,47,18.735165
515,29,18.950062
580,16,19.058133
580,16,19.154433
580,16,19.230296
590,14,19.309228
540,24,19.452082
600,12,19.539927
565,19,19.675752
570,18,19.791493
545,23,19.955587
540,24,20.100678
555,21,20.247438
575,17,20.354611
580,16,20.443951
555,21,20.57467
550,22,20.683875
485,35,20.891756
475,37,21.066613
465,39,21.261217
350,62,21.621639
525,27,21.767473
540,24,21.884929
570,18,22.032073
465,39,22.25012
485,35,22.440582
520,28,22.59121
445,43,33.841647
520,28,33.928965
575,17,33.995242
560,20,34.08466
565,19,34.174243
565,19,34.266826
575,17,34.354194
460,40,34.542568
510,30,34.682951
425,47,34.912386
510,30,35.032326
250,71,35.34183
590,14,35.391364
565,19,35.478882
525,27,35.612026
570,18,35.704417
500,32,35.842871
515,29,35.986784
570,18,36.069644
395,53,36.313041
555,21,36.385422
425,47,36.566243
550,22,36.676002
525,27,36.793637
360,60,37.039079
365,59,37.331534
550,22,37.4389
590,14,37.549912
475,37,37.778547
550,22,37.901816
520,28,38.081004
590,14,38.201873
510,30,38.357064
520,28,38.539187
500,32,38.710478
595,13,38.844201
415,49,39.119322
535,25,39.247877
580,16,39.358673
565,19,39.45189
525,27,39.599933
580,16,39.724513
520,28,39.861089
590,14,39.960598
515,29,40.151929
600,12,40.219318
580,16,40.325071
470,38,40.544324
-205,52,40.834831
540,24,40.989007
490,34,41.128891
565,19,41.244431
585,15,41.322714
595,13,41.393464
540,24,41.527222
495,33,41.671773
575,17,41.798068
585,15,41.909664
550,22,42.073255
590,14,42.147307
530,26,42.335114
575,17,42.448086
575,17,42.555081
570,18,42.643665
515,29,42.849211
390,54,43.109392
455,41,43.347944
495,33,43.499724
590,14,43.599205
565,19,43.672799
570,18,43.768477
560,20,43.857494
380,56,44.065537
515,29,44.196627
555,21,44.296782
495,33,44.428882
