#{"t_start": 1693318771.305318, "env_id": null}
r,l,t
580,16,12.575848
590,14,12.627485
515,29,12.731072
560,20,12.801213
595,13,12.866244
590,14,12.925849
565,19,12.998891
570,18,13.086483
570,18,13.168421
580,16,13.226384
565,19,13.312931
430,46,13.493367
580,16,13.580876
565,19,13.657903
520,28,13.781325
560,20,13.865199
560,20,13.950884
535,25,14.044144
525,27,14.172817
540,24,14.286795
575,17,14.358179
570,18,14.463301
545,23,14.601692
500,32,14.745218
555,21,14.825048
570,18,14.908264
560,20,14.991514
565,19,15.080715
455,41,15.254927
500,32,15.408419
370,58,15.678808
555,21,15.802395
470,38,15.951804
530,26,16.070227
540,24,16.18284
455,41,16.3722
520,28,16.486621
570,18,16.55542
590,14,16.634774
505,31,16.765127
540,24,16.864173
505,31,16.992927
490,34,17.125959
480,36,17.262716
575,17,17.322929
490,34,17.476848
585,15,17.570167
565,19,17.664997
530,26,17.808226
575,17,17.907476
465,39,18.129803
490,34,18.339158
590,14,18.431034
540,24,18.564815
430,46,18.836088
545,23,18.979009
440,44,19.241857
545,23,19.382908
570,18,19.488239
585,15,19.586181
550,22,19.731361
450,42,20.038496
560,20,20.166135
560,20,20.283303
485,35,20.492904
565,19,20.624524
285,75,21.013659
430,46,21.227164
510,30,21.403548
360,60,21.738774
455,41,21.985533
530,26,22.135435
530,26,22.301147
535,25,22.422923
520,28,22.572349
475,37,22.734036
495,33,33.912552
545,23,34.005788
580,16,34.067788
475,37,34.252738
590,14,34.324636
505,31,34.471734
560,20,34.563957
585,15,34.625368
600,12,34.698189
560,20,34.79366
555,21,34.896826
525,27,35.000451
570,18,35.091266
490,34,35.246502
295,73,35.551865
295,73,35.891219
590,14,35.966695
540,24,36.080683
560,20,36.175612
515,29,36.297512
405,51,36.487668
515,29,36.615848
500,32,36.765172
590,14,36.82229
565,19,36.907055
480,36,37.047796
500,32,37.171907
550,22,37.291565
495,33,37.509081
540,24,37.665637
490,34,37.870201
565,19,37.968076
560,20,38.116338
555,21,38.252366
570,18,38.344135
415,49,38.650029
580,16,38.746703
555,21,38.892983
575,17,38.980653
510,30,39.182557
515,29,39.320369
390,54,39.648678
540,24,39.801557
485,35,40.005177
555,21,40.128393
435,45,40.409364
480,36,40.628073
565,19,40.734352
540,24,40.871584
535,25,41.015194
505,31,41.146213
525,27,41.293694
550,22,41.426716
575,17,41.499388
530,26,41.625007
555,21,41.771444
465,39,42.048058
515,29,42.220632
565,19,42.365409
420,48,42.65336
490,34,42.877318
495,33,43.040245
570,18,43.132581
570,18,43.235185
535,25,43.36921
455,41,43.577166
525,27,43.709049
570,18,43.798578
520,28,43.916315
585,15,43.968456
575,17,44.030097
545,23,44.127498
505,31,44.267462
555,21,44.377121
550,22,54.949602
565,19,55.02371
565,19,55.113922
485,35,55.277363
485,35,55.443086
435,45,55.681688
595,13,55.726623
460,40,55.907952
600,12,55.963579
440,44,56.157112
445,43,56.357358
375,57,56.659538
555,21,56.786474
420,48,57.076791
580,16,57.156762
360,60,57.507601
530,26,57.691177
530,26,57.834646
535,25,57.998044
345,63,58.27577
580,16,58.392253
570,18,58.50932
570,18,58.608358
530,26,58.775947
510,30,58.952596
560,20,59.078896
425,47,59.347576
420,48,59.56637
545,23,59.701492
555,21,59.810589
580,16,59.936694
530,26,60.094979
560,20,60.205668
505,31,60.399419
490,34,60.593256
540,24,60.719354
580,16,60.829715
485,35,61.054269
580,16,61.149981
295,62,61.458075
530,26,61.635139
550,22,61.77943
555,21,61.899012
455,41,62.134205
415,49,62.423976
460,40,62.616288
560,20,62.70439
395,53,63.001543
595,13,63.068563
560,20,63.153873
550,22,63.232595
530,26,63.33988
585,15,63.419101
535,25,63.53155
490,34,63.710876
460,40,63.866126
505,31,64.017632
575,17,64.092426
570,18,64.179599
530,26,64.293572
520,28,64.391453
560,20,64.506044
365,59,64.764291
455,41,64.952304
400,52,65.186117
470,38,65.355269
585,15,65.432253
485,35,65.574085
375,57,76.712085
585,15,76.896587
515,29,77.070101
460,40,77.305406
545,23,77.424947
520,28,77.545802
500,32,77.743638
530,26,77.883949
580,16,77.935493
595,13,78.020735
560,20,78.13727
575,17,78.259317
525,27,78.462016
560,20,78.573101
575,17,78.634619
555,21,78.755637
545,23,78.891665
500,32,79.059528
355,61,79.374848
485,35,79.571835
560,20,79.68845
570,18,79.784233
525,27,79.943079
520,28,80.084313
575,17,80.222419
300,72,80.58697
590,14,80.683006
555,21,80.80806
415,49,81.083017
-205,52,81.357545
565,19,81.46308
490,34,81.694073
460,40,81.937706
500,32,82.095058
385,55,82.412004
595,13,82.479733
575,17,82.545679
560,20,82.628801
585,15,82.693707
575,17,82.754557
505,31,82.87981
595,13,82.935501
570,18,82.996972
320,68,83.316072
570,18,83.396814
545,23,83.504321
595,13,83.547595
565,19,83.609111
-255,62,83.906204
500,32,84.078197
555,21,84.172704
545,23,84.273621
530,26,84.406052
520,28,84.525868
525,27,84.644162
520,28,84.775596
590,14,84.836859
430,46,85.031583
585,15,85.105145
540,24,85.213942
565,19,85.305778
460,40,85.495455
580,16,85.565475
500,32,85.694858
590,14,85.764064
520,28,85.863313
575,17,85.947285
540,24,86.106489
295,73,86.474125
470,38,86.662921
565,19,86.755771
565,19,86.852126
280,65,99.400279
495,33,99.584553
550,22,99.72848
480,36,99.902782
390,54,100.238202
550,22,100.385487
565,19,100.494117
505,31,100.698806
465,39,100.876961
385,55,101.193665
415,49,101.494868
415,49,101.781862
570,18,101.87255
565,19,101.975003
480,36,102.134789
565,19,102.207095
565,19,102.281119
500,32,102.42475
575,17,102.49773
395,53,102.722808
550,22,102.808155
540,24,102.904414
535,25,103.022048
540,24,103.107725
575,17,103.176266
505,31,103.308208
560,20,103.395915
535,25,103.500209
595,13,103.571698
495,33,103.733504
545,23,103.822759
580,16,103.878939
505,31,104.001404
525,27,104.130194
485,35,104.281793
550,22,104.361697
585,15,104.43633
265,79,104.794822
570,18,104.880379
520,28,105.017524
575,17,105.079322
475,37,105.250862
590,14,105.323896
440,44,105.548366
495,33,105.680786
585,15,105.739795
460,40,105.897573
435,45,106.141526
585,15,106.205926
550,22,106.339088
535,25,106.430188
570,18,106.485749
550,22,106.593695
560,20,106.674975
515,29,106.801251
380,56,107.048515
470,38,107.249424
510,30,107.360709
520,28,107.474434
525,27,107.596392
540,24,107.693794
505,31,107.823691
555,21,107.914975
600,12,107.957852
515,29,108.091064
565,19,108.16786
570,18,108.240354
510,30,108.365143
555,21,108.463339
550,22,108.554805
260,69,122.544009
530,26,122.657214
460,40,122.858449
430,46,123.043385
585,15,123.116152
305,71,123.399438
585,15,123.457905
555,21,123.53518
595,13,123.594283
560,20,123.673512
570,18,123.744107
575,17,123.827867
515,29,123.975636
575,17,124.051339
445,43,124.206692
595,13,124.282086
565,19,124.377033
560,20,124.469351
555,21,124.580524
570,18,124.645306
550,22,124.738607
515,29,124.867833
540,24,124.966153
510,30,125.081936
600,12,125.136817
530,26,125.266587
-210,53,125.46401
530,26,125.567311
500,32,125.744693
515,29,125.87156
520,28,125.986192
470,38,126.174156
505,31,126.329576
595,13,126.380309
505,31,126.520557
595,13,126.588089
580,16,126.673379
595,13,126.737694
550,22,126.832662
540,24,126.917703
555,21,127.003649
590,14,127.060672
515,29,127.176997
550,22,127.27062
495,33,127.39134
515,29,127.504327
560,20,127.613266
570,18,127.71689
570,18,127.795358
435,45,128.019709
455,41,128.207821
565,19,128.28481
550,22,128.386247
550,22,128.491688
500,32,128.622328
595,13,128.695733
555,21,128.785169
555,21,128.883873
560,20,128.973545
595,13,129.036249
575,17,129.10479
570,18,129.190175
530,26,129.288868
455,41,129.476298
520,28,129.614082
565,19,129.698319
580,16,129.761502
490,34,129.922552
555,21,130.022995
490,34,130.155331
515,29,130.270854
570,18,130.355899
525,27,130.478791
560,20,130.576429
535,25,130.677423
525,27,130.813184
550,22,130.893881
445,43,131.1043
500,32,131.243436
520,28,131.381201
580,16,131.452989
375,57,145.548202
440,44,145.72205
535,25,145.843788
-210,53,146.085079
550,22,146.205768
585,15,146.293267
550,22,146.376156
460,40,146.580124
560,20,146.690048
495,33,146.83834
545,23,146.913526
590,14,146.989095
580,16,147.050274
555,21,147.159896
330,66,147.413467
525,27,147.518092
530,26,147.623962
465,39,147.772471
565,19,147.867688
430,46,148.118459
565,19,148.198638
600,12,148.244719
540,24,148.369544
560,20,148.438322
590,14,148.50837
575,17,148.586717
460,40,148.763981
600,12,148.823816
530,26,148.942606
540,24,149.032355
520,28,149.175858
555,21,149.253635
540,24,149.359885
550,22,149.44401
585,15,149.512726
575,17,149.599328
485,35,149.720336
580,16,149.787706
585,15,149.845047
550,22,149.950282
595,13,150.019476
560,20,150.116665
530,26,150.234043
285,75,150.520648
540,24,150.613983
575,17,150.672118
455,41,150.851178
520,28,150.999604
595,13,151.048239
555,21,151.15178
530,26,151.273025
595,13,151.332299
510,30,151.453062
520,28,151.579933
565,19,151.673177
575,17,151.762766
455,41,151.92203
440,44,152.131878
415,49,152.324855
390,54,152.536777
480,36,152.690657
575,17,152.778248
575,17,152.869474
565,19,152.950789
385,55,153.186893
465,39,153.325428
585,15,153.392668
470,38,153.53874
555,21,153.621828
555,21,153.723891
455,41,153.878742
550,22,153.968767
580,16,154.037645
530,26,154.135759
555,21,154.252482
545,23,154.347001
555,21,168.095235
560,20,168.18802
480,36,168.318486
355,61,168.563455
495,33,168.709606
565,19,168.784064
560,20,168.857395
530,26,168.957911
530,26,169.061317
540,24,169.167449
560,20,169.250628
550,22,169.325337
460,40,169.49665
540,24,169.61397
485,35,169.72168
580,16,169.798261
545,23,169.884477
600,12,169.93862
420,48,170.130476
530,26,170.253237
555,21,170.348084
520,28,170.471518
535,25,170.574663
