#{"t_start": 1692020210.576814, "env_id": null}
r,l,t
-120,24,5.964136
-280,32,6.110379
-180,27,6.242923
-180,27,6.342569
-280,32,6.513348
-460,41,6.669271
-60,21,6.750313
-220,29,6.835381
-420,39,6.979106
-340,35,7.114386
-180,27,7.256922
-800,58,7.477794
-460,41,7.653388
-140,25,7.785952
-180,27,7.90786
-640,50,8.125064
-240,30,8.242907
60,15,8.329887
-60,21,8.402554
-320,34,8.568216
-540,45,8.751303
-100,23,8.862559
-460,41,9.046307
-900,63,9.290507
-600,48,9.459492
-1170,60,9.711232
-440,40,9.864024
-360,36,10.019629
-700,53,10.270893
-320,34,10.38519
-540,45,10.560264
-140,25,10.716948
-80,22,10.804853
20,17,10.873667
20,17,10.946503
40,16,11.043559
-20,19,11.140485
-340,35,11.246567
-800,58,11.484211
-300,33,11.67268
-600,48,11.888389
-120,24,11.970686
-200,28,12.08531
-40,20,12.184098
-260,31,12.301317
60,15,12.377551
-180,27,12.522994
-520,44,12.735794
-80,22,12.798836
60,15,12.863594
-340,35,13.031229
-100,23,13.145961
-400,38,13.336067
-80,22,13.416556
0,18,13.513546
-120,24,13.629529
-520,44,13.807884
-20,19,13.907247
-240,30,14.037114
-160,26,14.137227
-80,22,14.255118
-100,23,14.338723
-120,24,14.43058
-80,22,14.517636
20,17,14.575029
-220,29,30.904773
-120,24,30.98697
0,18,31.057334
-200,28,31.16341
-120,24,31.242534
-340,35,31.337193
-100,23,31.44243
-640,50,31.601297
-140,25,31.714641
-60,21,31.818247
-40,20,31.942421
-140,25,32.015207
-20,19,32.122013
-100,23,32.228835
-240,30,32.354098
-1080,72,32.636126
100,13,32.69065
100,13,32.773058
-260,31,32.878524
-700,53,33.063398
-160,26,33.174312
60,15,33.237033
-180,27,33.360405
-120,24,33.450088
-60,21,33.539219
-160,26,33.73009
80,14,33.784594
-320,34,33.967407
-180,27,34.061884
-60,21,34.170995
-380,37,34.310762
-380,37,34.485641
-760,56,34.781424
-140,25,34.87258
-1150,74,35.185102
-140,25,35.341388
-200,28,35.485343
-160,26,35.601537
-280,32,35.709427
-180,27,35.80992
-320,34,35.940534
-200,28,36.072852
0,18,36.156251
-300,33,36.283073
-100,23,36.37231
-300,33,36.494416
0,18,36.559858
-200,28,36.66141
-200,28,36.737409
-220,29,36.832584
-120,24,36.919767
-40,20,37.006494
-260,31,37.098951
-1010,52,37.271045
20,17,37.363457
-240,30,37.474143
-360,36,37.582176
-320,34,37.728138
-100,23,37.837711
-320,34,37.98504
-200,28,38.116917
20,17,38.192594
-220,29,38.29429
-1010,52,38.495775
-540,45,38.690951
-380,37,38.808306
-80,22,38.893926
-420,39,39.050109
-340,35,39.210846
-20,19,55.231726
20,17,55.311492
-140,25,55.405448
20,17,55.498131
-340,35,55.627581
-80,22,55.726658
-20,19,55.820084
-780,57,56.04181
-340,35,56.195999
80,14,56.264688
-280,32,56.374387
-920,64,56.596658
-160,26,56.739774
-120,24,56.856762
-360,36,56.996505
0,18,57.089144
20,17,57.172676
-260,31,57.337394
-220,29,57.480824
-220,29,57.591808
-1030,53,57.788927
-420,39,58.000598
-180,27,58.110412
-420,39,58.270799
-360,36,58.364898
-1020,51,58.58007
-220,29,58.701766
80,14,58.769011
100,13,58.80932
-140,25,58.87672
-120,24,58.993718
-40,20,59.114859
-420,39,59.294419
-520,44,59.482715
40,16,59.544152
-220,29,59.635433
-60,21,59.716384
0,18,59.804886
-660,51,60.010957
-340,35,60.142905
0,18,60.217588
-160,26,60.302014
0,18,60.391255
-80,22,60.460987
-540,45,60.64265
-60,21,60.734398
-900,63,60.947248
-20,19,61.043729
-160,26,61.166971
-40,20,61.23949
-940,65,61.490084
-40,20,61.561076
-540,45,61.754241
100,13,61.818711
-660,51,62.010851
-340,35,62.143858
-80,22,62.211142
-60,21,62.297799
-20,19,62.403074
-260,31,62.53521
-160,26,62.602159
-300,33,62.686553
-80,22,62.759613
-200,28,62.866711
-360,36,63.050321
20,17,63.098719
60,15,63.193187
-20,19,63.252444
-580,47,63.453499
-820,59,80.326969
-440,40,80.514662
20,17,80.608409
-40,20,80.702624
-980,67,81.028868
-220,29,81.159096
-180,27,81.289535
-20,19,81.377293
-100,23,81.48468
-100,23,81.56863
-420,39,81.760565
-80,22,81.871755
-20,19,81.946703
20,17,82.057465
-1010,52,82.247563
-140,25,82.380734
60,15,82.430587
-160,26,82.579863
-340,35,82.745548
-440,40,82.895044
-520,44,83.110231
-140,25,83.215246
-780,57,83.499002
-180,27,83.626543
-260,31,83.778098
-180,27,83.897276
100,13,83.945449
-1000,68,84.200486
-140,25,84.339727
-460,41,84.497722
-340,35,84.638926
0,18,84.71367
-80,22,84.823306
-40,20,84.894323
-300,33,85.021033
-860,61,85.244708
-180,27,85.387919
-380,37,85.555062
-180,27,85.694424
40,16,85.768101
-420,39,85.934241
-60,21,86.034976
-20,19,86.119792
-100,23,86.243688
-220,29,86.345579
-60,21,86.434239
-400,38,86.616419
-120,24,86.736293
-180,27,86.855714
-260,31,86.970086
-640,50,87.202803
-360,36,87.336479
-80,22,87.437164
60,15,87.481352
-640,50,87.682954
-40,20,87.754392
-140,25,87.875192
40,16,87.93101
-340,35,88.057929
80,14,88.102728
-80,22,88.218538
-100,23,88.28776
-620,49,88.486632
-200,28,88.566524
-580,47,88.766601
-460,41,88.974063
0,18,89.079929
-240,30,106.085971
-320,34,106.259098
-260,31,106.350762
40,16,106.416394
-420,39,106.602097
-180,27,106.72201
-260,31,106.874282
-120,24,106.974178
-260,31,107.128301
80,14,107.185347
-340,35,107.31802
-220,29,107.424837
-300,33,107.595039
-180,27,107.708573
-60,21,107.841823
-340,35,107.974308
-260,31,108.117258
-620,49,108.356439
0,18,108.43833
-400,38,108.590631
-140,25,108.715353
-180,27,108.821354
-580,47,108.984288
40,16,109.082037
-140,25,109.152762
20,17,109.252584
-100,23,109.381165
-20,19,109.442733
60,15,109.529976
-380,37,109.688999
0,18,109.804435
-520,44,109.968169
-100,23,110.052371
0,18,110.124893
-280,32,110.30705
-360,36,110.455459
-240,30,110.601911
-1140,75,110.939661
20,17,111.010282
0,18,111.090989
-420,39,111.263258
-600,48,111.435319
-1030,53,111.686879
-780,57,111.923689
-40,20,111.997356
-280,32,112.138832
-20,19,112.227889
-380,37,112.437093
-1010,52,112.64078
-440,40,112.79125
-100,23,112.955491
-640,50,113.133844
-280,32,113.260581
-380,37,113.415331
-60,21,113.513436
-60,21,113.591455
-340,35,113.744604
40,16,113.818673
40,16,113.865943
-20,19,113.984609
-180,27,114.098219
-560,46,114.313399
-140,25,114.394261
-80,22,114.487507
-120,24,114.608558
-480,42,114.774478
-280,32,114.909482
-340,35,115.066379
-220,29,131.558103
-560,46,131.760608
-160,26,131.865354
-1050,54,132.054878
-680,52,132.28162
0,18,132.357835
-240,30,132.494454
-220,29,132.583896
-1020,51,132.835429
0,18,132.927503
-700,53,133.169596
-300,33,133.35677
-1240,80,133.639186
-1240,80,134.023061
40,16,134.11843
-40,20,134.201538
-80,22,134.303774
60,15,134.389245
-400,38,134.516645
-40,20,134.607435
-100,23,134.696446
-160,26,134.825611
-240,30,134.949972
20,17,135.009421
-300,33,135.157052
-100,23,135.260837
-840,60,135.523393
-300,33,135.678775
-280,32,135.818476
-60,21,135.892692
-60,21,135.977043
-160,26,136.080766
-1090,56,136.347125
100,13,136.389282
-480,42,136.623059
-80,22,136.717895
-1120,74,137.028396
-260,31,137.180989
-20,19,137.280442
-120,24,137.382488
-120,24,137.453974
-740,55,137.662394
-920,64,137.943295
-500,43,138.12185
20,17,138.192724
-440,40,138.36482
-280,32,138.497128
-180,27,138.624595
-420,39,138.789105
-680,52,139.023122
-360,36,139.190656
-100,23,139.328593
