#{"t_start": 1692020210.5761328, "env_id": null}
r,l,t
-260,31,6.00513
-240,30,6.136313
-20,19,6.201161
-420,39,6.409619
-560,46,6.60253
-200,28,6.712291
-100,23,6.790181
0,18,6.843215
-20,19,6.924066
-400,38,7.059429
-200,28,7.196154
100,13,7.245005
-520,44,7.402967
-220,29,7.515296
40,16,7.60007
60,15,7.669626
60,15,7.758867
-160,26,7.879913
-660,51,8.092365
-100,23,8.205269
-20,19,8.277173
-20,19,8.360941
-280,32,8.528945
-200,28,8.623081
-1010,52,8.842663
-360,36,9.019086
-60,21,9.106152
-360,36,9.231271
-880,62,9.479596
-360,36,9.62012
-460,41,9.788245
-120,24,9.877957
40,16,9.954631
-160,26,10.068753
20,17,10.141046
-120,24,10.243224
-320,34,10.372513
-440,40,10.521719
-80,22,10.645428
-200,28,10.782882
-260,31,10.913163
-280,32,11.088013
-200,28,11.192544
-60,21,11.268101
-180,27,11.388245
-80,22,11.449615
80,14,11.535596
0,18,11.618126
-120,24,11.753627
-160,26,11.85627
-460,41,12.028019
-240,30,12.148221
-160,26,12.249243
-100,23,12.359991
-40,20,12.468715
-60,21,12.580636
60,15,12.631051
-540,45,12.814969
40,16,12.88855
-20,19,12.984926
80,14,13.058294
-140,25,13.175473
-520,44,13.380597
20,17,13.457098
-220,29,13.590078
-120,24,13.697945
-40,20,13.789065
-160,26,13.914624
-160,26,14.017824
-300,33,14.164859
-100,23,14.271733
-60,21,14.361886
-600,48,14.53757
-120,24,14.632788
-620,49,31.012217
-100,23,31.11053
-240,30,31.201085
-280,32,31.303088
40,16,31.348237
-20,19,31.431889
-200,28,31.538399
-100,23,31.61079
-120,24,31.696253
-280,32,31.878071
-780,57,32.145179
0,18,32.216449
-120,24,32.310068
20,17,32.395188
-100,23,32.473415
-80,22,32.558787
-960,66,32.837283
-700,53,33.03583
60,15,33.100855
20,17,33.156144
-160,26,33.292272
-140,25,33.394511
-280,32,33.517479
-240,30,33.698017
-40,20,33.801161
-280,32,33.977935
-180,27,34.084334
100,13,34.139314
20,17,34.210279
-80,22,34.270878
-1070,55,34.583574
60,15,34.636302
-140,25,34.768667
-360,36,34.898658
-100,23,35.019436
-620,49,35.234574
-540,45,35.467303
0,18,35.573785
-680,52,35.760596
-380,37,35.884635
-200,28,36.021971
-20,19,36.093118
-260,31,36.233354
-60,21,36.305091
20,17,36.380236
-60,21,36.437553
-360,36,36.583319
-460,41,36.712697
-200,28,36.796453
20,17,36.866424
-100,23,36.942578
-980,67,37.166213
-240,30,37.276621
-40,20,37.379048
-60,21,37.450598
-120,24,37.543245
100,13,37.571166
-20,19,37.642826
60,15,37.710557
-340,35,37.860012
-20,19,37.950037
40,16,38.013291
-360,36,38.182373
-380,37,38.337064
-200,28,38.42624
-240,30,38.554967
-840,60,38.754954
-120,24,38.860114
-80,22,38.961229
-20,19,39.03063
-160,26,39.147204
-220,29,39.277877
-480,42,55.391216
-20,19,55.472762
-800,58,55.716386
-120,24,55.849364
-140,25,55.943483
-20,19,56.008385
40,16,56.06515
-40,20,56.161384
40,16,56.231673
40,16,56.31664
-120,24,56.387026
-240,30,56.496314
-600,48,56.707638
-200,28,56.824438
-300,33,56.969046
-520,44,57.17976
-640,50,57.441731
-500,43,57.614144
-80,22,57.687583
-340,35,57.836778
-60,21,57.936682
-60,21,58.058332
-100,23,58.166046
40,16,58.225642
-820,59,58.410977
-300,33,58.521579
20,17,58.63885
-520,44,58.795457
-260,31,58.884996
-660,51,59.155145
-40,20,59.239877
-240,30,59.374883
-280,32,59.509578
-840,60,59.727622
-380,37,59.88008
-40,20,59.985427
-380,37,60.111758
-420,39,60.259378
-60,21,60.345338
-120,24,60.430242
-80,22,60.529905
-460,41,60.683633
-340,35,60.810547
-620,49,61.009664
-200,28,61.145108
-200,28,61.226292
0,18,61.31631
-180,27,61.398975
-140,25,61.512229
-180,27,61.614026
-500,43,61.794086
-180,27,61.901753
20,17,61.962475
-580,47,62.152414
-60,21,62.217017
-100,23,62.323498
0,18,62.411716
-220,29,62.528353
-220,29,62.613783
-320,34,62.698521
-400,38,62.830991
-60,21,62.925522
-20,19,63.016026
-260,31,63.157712
-380,37,63.304147
0,18,63.38527
-220,29,63.502973
-120,24,80.225512
-480,42,80.392582
100,13,80.469219
120,12,80.535076
60,15,80.623911
-60,21,80.735637
-80,22,80.836449
60,15,80.915024
-400,38,81.105145
-280,32,81.233856
-560,46,81.433711
20,17,81.524096
-80,22,81.611573
-260,31,81.74797
20,17,81.831668
-300,33,81.995159
-460,41,82.186942
-320,34,82.326538
-460,41,82.528036
-140,25,82.641778
-60,21,82.75188
-180,27,82.856452
-160,26,82.971311
-120,24,83.07214
-120,24,83.17154
-220,29,83.327797
-180,27,83.456419
40,16,83.539247
-540,45,83.759599
-520,44,83.935035
-60,21,84.003179
-120,24,84.110885
-80,22,84.179972
0,18,84.280822
-320,34,84.426132
-380,37,84.581296
-80,22,84.661383
-140,25,84.781981
-360,36,84.934524
-500,43,85.102844
-60,21,85.186055
-380,37,85.324698
-40,20,85.43378
-20,19,85.511966
-340,35,85.681645
-80,22,85.783756
-280,32,85.91854
-100,23,86.02688
-120,24,86.146823
-60,21,86.257925
-280,32,86.3671
-120,24,86.472418
40,16,86.562578
-20,19,86.637476
-80,22,86.758434
40,16,86.833892
-760,56,87.035951
-160,26,87.167434
-180,27,87.286411
-280,32,87.413518
-840,60,87.628776
-400,38,87.786573
-200,28,87.906302
0,18,87.994951
-560,46,88.157161
-100,23,88.248356
-440,40,88.388673
-60,21,88.468969
-300,33,88.579716
-820,59,88.841315
-100,23,88.960979
40,16,89.054044
20,17,89.151246
-20,19,106.10385
0,18,106.204388
-880,62,106.426821
-40,20,106.511905
-40,20,106.619625
-100,23,106.709525
80,14,106.776348
-240,30,106.91991
60,15,106.993275
-360,36,107.155631
-1260,81,107.469289
-40,20,107.573134
-160,26,107.694445
-140,25,107.851875
-40,20,107.912274
-180,27,108.015353
-260,31,108.176885
-180,27,108.281522
-140,25,108.42134
-440,40,108.579226
40,16,108.666003
-200,28,108.784421
-940,65,109.053398
-420,39,109.221614
100,13,109.276657
60,15,109.362664
-260,31,109.463635
-80,22,109.607777
0,18,109.661117
-780,57,109.930318
-280,32,110.045754
-300,33,110.217204
-420,39,110.396842
-60,21,110.486166
0,18,110.564437
40,16,110.654086
-20,19,110.748672
-40,20,110.838315
-20,19,110.916758
80,14,110.97391
-100,23,111.075246
-220,29,111.185301
-320,34,111.326454
-60,21,111.408919
120,12,111.490154
-240,30,111.620644
-200,28,111.742497
-140,25,111.835933
-740,55,112.046135
80,14,112.103226
0,18,112.198081
-40,20,112.274371
-460,41,112.505649
-40,20,112.562682
-80,22,112.679887
-40,20,112.737513
60,15,112.815651
20,17,112.930943
-540,45,113.082332
-60,21,113.173022
-240,30,113.299318
-300,33,113.436276
-160,26,113.551766
-100,23,113.637757
-220,29,113.777095
-220,29,113.893303
-60,21,114.011702
-100,23,114.113242
100,13,114.199888
-360,36,114.333651
-660,51,114.513173
-200,28,114.676037
0,18,114.736469
-1010,67,115.015307
-40,20,131.494626
-1010,52,131.690708
-100,23,131.804584
-80,22,131.882451
-620,49,132.06654
-520,44,132.220432
-260,31,132.377328
-160,26,132.50775
-200,28,132.592753
-20,19,132.682449
-800,58,132.967525
40,16,133.034567
-260,31,133.190436
60,15,133.278733
-100,23,133.40342
-520,44,133.53668
-200,28,133.630476
-20,19,133.736871
-40,20,133.832599
-340,35,133.9722
-320,34,134.155833
-300,33,134.318065
-520,44,134.474972
-40,20,134.577971
-420,39,134.740664
-160,26,134.858113
-940,65,135.122139
-280,32,135.283792
80,14,135.356017
-360,36,135.489207
-20,19,135.57303
20,17,135.650679
40,16,135.753785
-180,27,135.854738
-1060,71,136.143813
-1230,63,136.429947
40,16,136.499648
-60,21,136.613225
-260,31,136.758479
-560,46,136.952119
-180,27,137.06314
40,16,137.146868
-40,20,137.251928
-1040,70,137.509935
-80,22,137.599007
-120,24,137.713682
60,15,137.764649
-20,19,137.836172
-20,19,137.918365
-160,26,138.042905
-140,25,138.135819
80,14,138.202551
-1010,67,138.478746
-100,23,138.592627
-200,28,138.716304
-200,28,138.833777
-120,24,138.935823
-180,27,139.055616
-60,21,139.143041
-20,19,139.252476
-400,38,139.437874
0,18,139.502202
0,18,139.566323
-40,20,139.662381
-80,22,139.771604
-640,50,140.004209
-180,27,140.146325
-720,54,140.338692
80,14,156.814886
80,14,156.862416
-1030,68,157.17189
-240,30,157.331842
-480,42,157.49252
-100,23,157.631687
100,13,157.680088
-160,26,157.786504
-1070,55,158.011044
-180,27,158.113953
0,18,158.192839
-1300,83,158.517645
-940,65,158.804677
20,17,158.867058
-260,31,158.979393
-140,25,159.0707
-80,22,159.148031
-260,31,159.271721
-40,20,159.337019
-20,19,159.402776
-260,31,159.527448
0,18,159.606102
-380,37,159.757184
-20,19,159.863237
-80,22,159.97749
-140,25,160.083001
-380,37,160.241672
-640,50,160.417982
60,15,160.503741
-80,22,160.615243
-140,25,160.748948
-520,44,160.923997
-40,20,161.005487
60,15,161.071406
-240,30,161.184052
80,14,161.241967
-220,29,161.363664
-60,21,161.487939
-860,61,161.702459
20,17,161.78247
-160,26,161.905058
-100,23,162.007936
-360,36,162.138598
-100,23,162.237247
-280,32,162.352074
-40,20,162.429121
-300,33,162.546987
0,18,162.633196
-200,28,162.745802
-200,28,162.88434
-420,39,163.075206
-120,24,163.187516
-900,63,163.425146
-260,31,163.555449
-20,19,163.62703
-280,32,163.808811
-680,52,164.061106
-120,24,164.173971
-320,34,164.316963
40,16,164.395392
-180,27,164.519794
-20,19,164.612008
-180,27,164.74801
-100,23,164.849573
-440,40,165.053998
-360,36,165.196996
-20,19,165.32217
-100,23,165.39578
-440,40,165.570606
40,16,182.309538
-40,20,182.427796
-40,20,182.505519
-100,23,182.613876
-400,38,182.790206
-240,30,182.915617
-120,24,183.018557
100,13,183.098297
-180,27,183.249624
20,17,183.310913
-180,27,183.440827
60,15,183.517486
-620,49,183.736071
-140,25,183.854975
-180,27,183.968684
100,13,184.059156
-180,27,184.162329
-140,25,184.279539
-240,30,184.431758
-200,28,184.549893
-140,25,184.657992
-280,32,184.795024
-140,25,184.909425
-40,20,185.005205
-80,22,185.103209
-320,34,185.287701
-360,36,185.410511
-140,25,185.530821
-720,54,185.74673
-200,28,185.865624
120,12,185.909918
-340,35,186.050928
-580,47,186.222614
0,18,186.290538
60,15,186.365289
-360,36,186.497378
-80,22,186.604252
100,13,186.685818
-80,22,186.788992
-60,21,186.883462
-1110,72,187.188736
120,12,187.240358
-20,19,187.324584
-60,21,187.410393
-140,25,187.523602
-220,29,187.668034
20,17,187.742982
-440,40,187.902124
80,14,187.949726
-280,32,188.110665
20,17,188.172053
-160,26,188.246651
-140,25,188.317369
40,16,188.353642
-120,24,188.45228
40,16,188.566725
60,15,188.648683
-220,29,188.748462
-220,29,188.856445
-300,33,188.980596
-440,40,189.159378
80,14,189.244766
0,18,189.32318
-880,62,189.624365
-260,31,189.747274
60,15,189.803791
-60,21,189.920863
-260,31,190.075747
-100,23,190.170186
-300,33,190.322016
-100,23,190.40859
40,16,190.501655
-40,20,190.59184
0,18,190.655816
80,14,190.734542
-140,25,190.799723
80,14,190.878746
120,12,190.924887
100,13,191.020713
60,15,191.100695
-200,28,191.237343
-240,30,208.438443
-780,57,208.752056
-280,32,208.889334
-220,29,209.020357
-320,34,209.137454
-360,36,209.272239
-40,20,209.35683
0,18,209.439167
0,18,209.51703
40,16,209.577296
-140,25,209.673408
60,15,209.733626
-280,32,209.919622
-680,52,210.125378
-240,30,210.291903
-100,23,210.409735
60,15,210.47671
-140,25,210.575561
-600,48,210.798928
-80,22,210.877231
-320,34,210.990736
-40,20,211.065386
60,15,211.13256
-140,25,211.191689
-140,25,211.285155
-480,42,211.456735
-160,26,211.577223
-400,38,211.716077
-340,35,211.856323
-720,54,212.093036
-60,21,212.195082
60,15,212.252393
-120,24,212.383109
-120,24,212.477428
-60,21,212.577582
-540,45,212.806447
-40,20,212.891649
-240,30,213.022334
-700,53,213.251574
-140,25,213.346749
-200,28,213.458088
-60,21,213.559762
-60,21,213.668451
-460,41,213.828497
-200,28,213.945179
100,13,214.018763
-40,20,214.100295
-380,37,214.276069
-1200,78,214.64087
-180,27,214.788636
-40,20,214.880297
20,17,214.98831
40,16,215.056273
-360,36,215.209668
-80,22,215.300486
-180,27,215.433913
-300,33,215.556535
-140,25,215.66476
-480,42,215.840986
-240,30,215.98358
-1010,67,216.256449
-360,36,216.433194
-140,25,216.514644
-60,21,216.582012
-200,28,216.721133
100,13,216.793353
80,14,216.846178
-20,19,216.935792
20,17,217.010398
-400,38,217.155128
-40,20,217.289629
-160,26,233.857721
-20,19,233.933737
60,15,234.031808
-340,35,234.195449
-60,21,234.297874
-60,21,234.412029
0,18,234.492691
20,17,234.591007
20,17,234.636404
-200,28,234.756412
-120,24,234.866915
40,16,234.941274
40,16,235.035624
-120,24,235.130428
-780,57,235.387958
-360,36,235.521666
-120,24,235.649288
-380,37,235.777463
100,13,235.835714
-500,43,236.026645
-340,35,236.197945
-300,33,236.355054
-340,35,236.510484
40,16,236.559908
-300,33,236.659162
-660,51,236.83328
20,17,236.885841
-260,31,236.995406
-160,26,237.091101
-380,37,237.271962
-220,29,237.398275
-120,24,237.481283
-940,65,237.758658
40,16,237.811852
-180,27,237.935086
-40,20,238.034502
-300,33,238.16559
60,15,238.231151
-320,34,238.416372
-80,22,238.513632
80,14,238.584943
-380,37,238.750034
20,17,238.844099
0,18,238.918611
-420,39,239.122607
-60,21,239.218332
-140,25,239.32947
-320,34,239.474787
0,18,239.539452
-960,66,239.807307
-460,41,240.006423
-20,19,240.105844
20,17,240.187122
-340,35,240.365661
-520,44,240.593158
-40,20,240.680091
120,12,240.70944
-240,30,240.861569
-1090,71,241.152444
60,15,241.218903
-160,26,241.305049
-970,65,241.558318
-580,47,241.762513
-120,24,241.874474
40,16,241.92788
-160,26,242.031768
-340,35,242.228779
-140,25,242.315173
-760,56,242.494795
-380,37,242.667281
-400,38,259.414974
-380,37,259.574619
-40,20,259.664883
-260,31,259.795187
-120,24,259.922225
-160,26,260.033456
40,16,260.110691
-160,26,260.236697
80,14,260.317262
-160,26,260.391213
20,17,260.462871
-80,22,260.544563
-950,64,260.836089
0,18,260.937893
-160,26,261.043514
-300,33,261.183179
-20,19,261.261609
-40,20,261.354168
-500,43,261.540658
-120,24,261.631686
-580,47,261.87814
20,17,261.950016
-680,52,262.215063
-160,26,262.300277
0,18,262.373062
40,16,262.451092
-40,20,262.56206
-420,39,262.690761
80,14,262.738229
-1420,89,263.042192
-260,31,263.166583
-20,19,263.267494
-100,23,263.398979
-100,23,263.498953
-100,23,263.590031
60,15,263.699165
-140,25,263.775169
20,17,263.867064
-180,27,264.013455
-460,41,264.202157
-240,30,264.313328
-380,37,264.452541
-60,21,264.557914
-300,33,264.718869
100,13,264.777326
-80,22,264.853204
-20,19,264.934323
-720,54,265.137648
-840,60,265.331586
-220,29,265.456991
-680,52,265.679637
-20,19,265.760642
-180,27,265.889504
0,18,265.988369
80,14,266.059602
20,17,266.127863
60,15,266.179035
-760,56,266.403207
60,15,266.467031
100,13,266.529403
-340,35,266.67125
-180,27,266.807809
-260,31,266.930739
60,15,267.017626
-60,21,267.107861
-60,21,267.209038
-160,26,267.358562
-1190,76,267.736462
-60,21,267.833756
40,16,267.909217
0,18,267.975677
100,13,268.023153
-480,42,268.241638
-20,19,284.935485
-160,26,285.047637
-700,53,285.271502
-1100,73,285.570075
-520,44,285.748471
80,14,285.816253
20,17,285.905347
80,14,285.980647
0,18,286.082621
-60,21,286.173431
-680,52,286.395687
-200,28,286.512344
-160,26,286.650642
120,12,286.706828
-100,23,286.789086
-180,27,286.89729
-120,24,286.982387
-640,50,287.17423
-140,25,287.273997
100,13,287.367766
-60,21,287.462191
-100,23,287.582243
-120,24,287.679184
-80,22,287.761158
-320,34,287.890564
-540,45,288.061626
-120,24,288.191138
-180,27,288.335793
-200,28,288.479012
-1040,70,288.78744
120,12,288.836792
-920,64,289.083312
-400,38,289.231977
-740,55,289.454868
-260,31,289.574678
-240,30,289.680278
-200,28,289.827747
-40,20,289.93845
-60,21,290.032409
-80,22,290.142508
-280,32,290.287055
-300,33,290.438395
-1030,53,290.652088
-40,20,290.721774
-1050,54,290.928647
-380,37,291.100705
-60,21,291.196012
-200,28,291.312547
80,14,291.368964
-980,67,291.678268
-140,25,291.793495
-140,25,291.9226
-280,32,292.039994
-200,28,292.163532
-240,30,292.293258
20,17,292.384255
-520,44,292.578719
-80,22,292.684332
-320,34,292.788822
-420,39,292.977599
-380,37,293.132484
-80,22,293.232742
-40,20,293.326593
-180,27,293.438457
-20,19,293.539588
40,16,293.629658
-160,26,293.750996
-20,19,311.128195
60,15,311.191363
-1080,72,311.526056
-380,37,311.68185
-840,60,311.881449
120,12,311.958957
-240,30,312.100255
-100,23,312.239198
-20,19,312.297108
20,17,312.408108
-20,19,312.507941
-180,27,312.630707
-80,22,312.707555
-720,54,312.94932
-140,25,313.029628
-80,22,313.150955
-120,24,313.280514
-480,42,313.410319
-20,19,313.492346
-20,19,313.597668
-280,32,313.746687
-200,28,313.877861
60,15,313.966812
-40,20,314.056531
40,16,314.13555
-400,38,314.306451
20,17,314.372666
-640,50,314.648967
0,18,314.739794
-300,33,314.875838
-160,26,314.989245
-780,57,315.223334
-380,37,315.353373
-20,19,315.444711
40,16,315.528692
-400,38,315.662829
-160,26,315.76884
-20,19,315.858269
-800,58,316.080405
-20,19,316.16449
-40,20,316.286738
40,16,316.370134
-60,21,316.440428
-600,48,316.596716
100,13,316.682815
-20,19,316.756439
40,16,316.799647
-140,25,316.921718
-80,22,317.023286
80,14,317.063023
-640,50,317.266233
-100,23,317.356334
-1360,86,317.693003
-280,32,317.817506
-1070,55,318.053188
-320,34,318.170277
60,15,318.249925
-420,39,318.414908
-80,22,318.530291
-20,19,318.604111
-100,23,318.700651
100,13,318.762299
40,16,318.840812
0,18,318.906956
-970,65,319.139399
-280,32,319.302778
-100,23,319.425824
-100,23,319.549999
80,14,319.611793
-20,19,319.689394
-320,34,319.831458
-260,31,319.939621
20,17,336.925762
-760,56,337.157345
-740,55,337.409177
60,15,337.479269
-200,28,337.605843
-180,27,337.739955
0,18,337.869021
80,14,337.922555
-160,26,338.041525
-520,44,338.215796
-880,62,338.511718
-20,19,338.612869
80,14,338.664468
-620,49,338.891588
60,15,338.947793
80,14,339.00452
-40,20,339.104309
-460,41,339.302671
-60,21,339.391757
-440,40,339.574346
20,17,339.667746
-60,21,339.763712
-60,21,339.868186
-20,19,339.979576
40,16,340.086483
-380,37,340.230171
80,14,340.307249
60,15,340.370771
-180,27,340.477931
60,15,340.559334
0,18,340.652978
-160,26,340.785647
-40,20,340.92152
-1070,55,341.165616
-400,38,341.331039
