#{"t_start": 1692020210.5758157, "env_id": null}
r,l,t
-340,35,6.024638
40,16,6.08877
-260,31,6.230848
-240,30,6.366162
-120,24,6.490887
-160,26,6.585507
-20,19,6.658057
-700,53,6.848218
-260,31,6.949223
-80,22,7.033952
-80,22,7.132763
-220,29,7.271677
-480,42,7.418382
-260,31,7.559728
20,17,7.62665
0,18,7.723806
0,18,7.811976
-340,35,7.976674
-240,30,8.10336
-980,67,8.378558
-40,20,8.491484
-580,47,8.699454
-120,24,8.785742
-80,22,8.902662
-1120,74,9.191234
60,15,9.253915
-260,31,9.367519
-660,51,9.587226
0,18,9.651181
80,14,9.697514
-20,19,9.775299
-160,26,9.886775
-20,19,9.978521
-80,22,10.058028
-360,36,10.219934
-100,23,10.320089
-220,29,10.437586
-740,55,10.679607
-580,47,10.88722
-60,21,11.001988
80,14,11.0622
-140,25,11.170487
-180,27,11.257818
-80,22,11.347195
-180,27,11.438613
80,14,11.522048
-240,30,11.695638
80,14,11.766553
-140,25,11.866005
-260,31,11.979533
20,17,12.056895
-220,29,12.174615
60,15,12.231764
100,13,12.286078
-220,29,12.43441
-160,26,12.569637
-100,23,12.669455
-220,29,12.780004
40,16,12.839435
-240,30,12.995411
-100,23,13.099136
-60,21,13.199602
-80,22,13.303077
-40,20,13.396305
-260,31,13.534713
-220,29,13.682893
-20,19,13.757723
-200,28,13.887222
-280,32,14.028231
-120,24,14.108852
-40,20,14.214627
-740,55,14.441517
0,18,14.505027
60,15,14.561615
-360,36,30.921351
-240,30,31.022068
0,18,31.09613
-700,53,31.279819
-540,45,31.419649
-840,60,31.636008
-180,27,31.7621
-140,25,31.900275
-220,29,32.001853
-40,20,32.102514
-620,49,32.322289
-380,37,32.463266
-460,41,32.645756
80,14,32.715819
-320,34,32.843196
-180,27,32.941402
-80,22,33.023007
-100,23,33.115909
-360,36,33.280571
-800,58,33.494362
0,18,33.582311
-320,34,33.811107
-60,21,33.923444
-80,22,34.01897
-680,52,34.225742
-160,26,34.334001
-180,27,34.463957
60,15,34.557047
0,18,34.645374
40,16,34.720187
-720,54,34.969366
-20,19,35.060485
-400,38,35.203149
40,16,35.277673
-220,29,35.443019
-40,20,35.55062
-220,29,35.660043
-80,22,35.740581
-180,27,35.839513
-280,32,35.953619
-440,40,36.144305
-120,24,36.25677
-300,33,36.356361
-180,27,36.450116
0,18,36.536574
20,17,36.59749
-180,27,36.688411
-40,20,36.744374
-200,28,36.827282
-380,37,36.974513
-80,22,37.04253
-220,29,37.135322
80,14,37.18232
-320,34,37.304755
-40,20,37.419512
-240,30,37.525692
-160,26,37.606477
-80,22,37.678855
-80,22,37.783495
-60,21,37.873797
-80,22,37.971644
-120,24,38.076669
0,18,38.157001
-60,21,38.264116
60,15,38.309825
0,18,38.378425
-580,47,38.569248
-140,25,38.665815
-360,36,38.777919
-220,29,38.902382
-480,42,39.068744
-180,27,39.182352
40,16,39.258282
-120,24,55.298476
100,13,55.363487
-220,29,55.485105
-20,19,55.575938
-60,21,55.666804
-320,34,55.805787
-160,26,55.915629
-300,33,56.031731
-80,22,56.138597
-620,49,56.346634
-520,44,56.511237
-280,32,56.616854
-280,32,56.778867
-280,32,56.925858
-60,21,57.009987
-120,24,57.146343
-440,40,57.325536
0,18,57.418934
-940,65,57.675146
-400,38,57.845777
-160,26,57.96262
-80,22,58.083404
-180,27,58.197377
-420,39,58.308108
-20,19,58.375374
-220,29,58.465293
60,15,58.542163
-40,20,58.663107
-100,23,58.727551
-40,20,58.816041
-240,30,58.920963
-20,19,59.007377
0,18,59.100224
-100,23,59.213586
100,13,59.266784
60,15,59.34412
-60,21,59.427808
-700,53,59.620373
-240,30,59.752055
-60,21,59.843417
-160,26,59.954275
-180,27,60.049719
60,15,60.101821
0,18,60.164302
-40,20,60.250013
0,18,60.313727
0,18,60.400805
-200,28,60.494814
-400,38,60.655184
-340,35,60.783012
-260,31,60.892351
-80,22,60.975783
-240,30,61.127317
-200,28,61.214337
-680,52,61.425311
-420,39,61.575401
-380,37,61.737112
40,16,61.805557
-820,59,62.055496
-140,25,62.133082
-160,26,62.221674
-100,23,62.332382
40,16,62.395324
-200,28,62.509068
-180,27,62.587943
60,15,62.637088
-970,65,62.843124
-280,32,62.982003
-240,30,63.130406
-140,25,63.225875
0,18,63.313564
-180,27,63.411509
-600,48,80.246251
-40,20,80.336631
-600,48,80.564902
-60,21,80.66766
-160,26,80.815771
-100,23,80.931364
-980,67,81.224514
20,17,81.304859
-120,24,81.406496
-60,21,81.510277
-60,21,81.590277
-20,19,81.674612
120,12,81.731011
-300,33,81.903554
-220,29,82.065373
-930,63,82.307687
-360,36,82.485851
100,13,82.55004
40,16,82.624366
-40,20,82.71969
-60,21,82.798177
-340,35,82.958378
-280,32,83.099421
-520,44,83.302415
20,17,83.392656
-160,26,83.526846
0,18,83.587477
80,14,83.670645
-380,37,83.83007
40,16,83.916792
-780,57,84.125374
80,14,84.167736
-60,21,84.291273
-700,53,84.515765
-160,26,84.612405
-1010,52,84.836276
-260,31,84.959355
-500,43,85.142016
-420,39,85.271961
-560,46,85.471487
-260,31,85.642724
-60,21,85.744776
-220,29,85.84398
-100,23,85.964635
-500,43,86.171756
-1200,78,86.516439
-180,27,86.647267
-120,24,86.773477
-200,28,86.887727
-420,39,87.021557
-320,34,87.189332
-60,21,87.274202
-760,56,87.502625
60,15,87.550394
-260,31,87.675508
0,18,87.733221
-80,22,87.846585
-60,21,87.921994
-180,27,88.033017
-160,26,88.12015
-1090,71,88.404658
-400,38,88.541445
-280,32,88.677207
-540,45,88.854518
-380,37,89.067333
-20,19,89.169583
-80,22,106.13948
-320,34,106.28162
-180,27,106.365892
-600,48,106.587041
-160,26,106.695935
-260,31,106.846052
-20,19,106.944709
20,17,107.047953
-1110,72,107.327014
-60,21,107.403002
-620,49,107.630186
-100,23,107.738691
40,16,107.833573
-340,35,107.964872
0,18,108.064698
-160,26,108.18733
-320,34,108.3276
-320,34,108.504621
-260,31,108.628925
0,18,108.702473
-500,43,108.872214
-40,20,108.949309
40,16,109.014923
-400,38,109.175474
-40,20,109.304002
-180,27,109.412661
-220,29,109.555709
-140,25,109.650641
-140,25,109.793365
-60,21,109.876009
-720,54,110.073472
60,15,110.156801
40,16,110.246047
-240,30,110.366439
-100,23,110.473058
-160,26,110.613726
20,17,110.677747
-260,31,110.824193
100,13,110.891464
-100,23,110.986265
-660,51,111.195741
-900,63,111.447948
-180,27,111.594406
-820,59,111.845277
-540,45,112.010741
-640,50,112.240623
-240,30,112.409364
-560,46,112.576618
-120,24,112.693751
60,15,112.743141
-80,22,112.858609
100,13,112.945395
-720,54,113.150278
-160,26,113.238054
-180,27,113.343321
-240,30,113.484348
-520,44,113.686631
-1030,53,113.909029
-200,28,114.045689
-340,35,114.225925
0,18,114.289934
-280,32,114.405298
-520,44,114.59235
-560,46,114.812776
-120,24,114.892918
-480,42,131.459097
-100,23,131.53752
-60,21,131.626293
-120,24,131.731252
-200,28,131.845973
-440,40,131.991729
-60,21,132.084287
-580,47,132.258128
0,18,132.347225
-80,22,132.444377
-540,45,132.642812
-60,21,132.718555
20,17,132.788188
-100,23,132.917734
-60,21,133.007666
-60,21,133.131562
-200,28,133.26783
-300,33,133.429815
-40,20,133.491271
-480,42,133.615601
20,17,133.710957
-60,21,133.806787
100,13,133.885632
-540,45,134.109628
-360,36,134.267987
-220,29,134.423164
-500,43,134.562855
-20,19,134.645765
-800,58,134.904425
20,17,134.974701
-60,21,135.054302
-340,35,135.221998
-80,22,135.32168
-320,34,135.439373
60,15,135.531101
-20,19,135.599993
-80,22,135.719503
-1110,57,135.945883
-200,28,136.041043
-320,34,136.20221
100,13,136.274968
-60,21,136.368712
-360,36,136.557635
-20,19,136.647826
-120,24,136.740494
-280,32,136.902906
-120,24,136.987339
-480,42,137.192585
-540,45,137.392315
0,18,137.439547
-300,33,137.565287
-240,30,137.692958
-260,31,137.808016
100,13,137.883584
20,17,137.963364
20,17,138.026316
-980,67,138.298421
40,16,138.376122
-420,39,138.526224
-20,19,138.636899
-220,29,138.750466
-160,26,138.881651
-280,32,139.007321
-20,19,139.082842
80,14,139.157011
-220,29,139.315387
-320,34,139.459467
-180,27,139.551977
-580,47,139.798717
-40,20,139.897752
-200,28,140.017779
-20,19,140.104014
-120,24,140.201881
-20,19,140.29623
-760,56,156.908886
-380,37,157.082338
-340,35,157.263527
-180,27,157.382519
-360,36,157.529975
-120,24,157.659538
-180,27,157.754013
60,15,157.836693
-200,28,157.923573
80,14,157.993057
-260,31,158.121846
-80,22,158.217078
-240,30,158.317543
-120,24,158.384502
40,16,158.475341
60,15,158.553415
-420,39,158.718593
0,18,158.793078
-480,42,158.940668
-60,21,159.021639
-1150,74,159.301788
-640,50,159.479605
-320,34,159.624997
100,13,159.689581
-280,32,159.833529
-160,26,159.952355
-400,38,160.11892
20,17,160.168544
100,13,160.257619
-620,49,160.444163
40,16,160.528729
100,13,160.590276
-80,22,160.708318
