#{"t_start": 1692020210.5746155, "env_id": null}
r,l,t
40,16,5.941278
-180,27,6.051824
-340,35,6.189261
40,16,6.291816
20,17,6.354934
0,18,6.461563
-200,28,6.559761
-320,34,6.695644
-360,36,6.819763
-60,21,6.899225
-40,20,6.961405
-260,31,7.088193
60,15,7.161301
-300,33,7.311936
-80,22,7.372048
-20,19,7.460323
-160,26,7.579415
-80,22,7.680209
-840,60,7.955607
-440,40,8.138799
-260,31,8.256706
-300,33,8.395897
60,15,8.482437
-360,36,8.640573
-380,37,8.796052
-160,26,8.925263
-140,25,9.0325
-60,21,9.122987
0,18,9.175906
-60,21,9.265068
20,17,9.332578
-640,50,9.533478
-460,41,9.679244
-220,29,9.805564
-300,33,9.934133
-160,26,10.047231
40,16,10.1212
-20,19,10.205008
-740,55,10.430115
-40,20,10.476738
-200,28,10.611492
-200,28,10.76864
-20,19,10.84214
-1010,52,11.115685
-320,34,11.224768
-180,27,11.332501
-40,20,11.414988
-200,28,11.549427
60,15,11.597925
-500,43,11.833541
-80,22,11.935244
-100,23,12.014027
-300,33,12.139796
-300,33,12.272157
-100,23,12.395373
-20,19,12.492469
-520,44,12.705903
-740,55,12.923669
-40,20,13.015486
-80,22,13.120081
-420,39,13.317921
-260,31,13.466935
-20,19,13.541463
-600,48,13.766573
-180,27,13.871601
-120,24,13.989744
-700,53,14.225601
-240,30,14.352186
-560,46,14.527888
-120,24,14.614946
-500,43,30.975233
-1030,53,31.180971
0,18,31.234014
-740,55,31.408007
0,18,31.486132
-180,27,31.5648
-40,20,31.66213
20,17,31.739793
-260,31,31.911336
20,17,31.971613
-220,29,32.081242
-40,20,32.193345
-340,35,32.341191
-760,56,32.548259
-280,32,32.70135
60,15,32.792892
-820,59,32.974947
-100,23,33.074733
-280,32,33.211852
20,17,33.29942
-480,42,33.436416
-220,29,33.565352
0,18,33.719899
-220,29,33.868795
-120,24,33.999131
-140,25,34.100429
-660,51,34.280515
20,17,34.386303
-380,37,34.574189
-140,25,34.685034
-160,26,34.809242
80,14,34.856657
40,16,34.931807
-420,39,35.11297
-100,23,35.215724
-40,20,35.314891
0,18,35.40344
-160,26,35.542102
40,16,35.613208
-220,29,35.697555
-280,32,35.827605
-80,22,35.900909
-60,21,36.009714
-120,24,36.116984
20,17,36.194939
100,13,36.249741
-60,21,36.325758
-640,50,36.514276
-260,31,36.628757
-980,67,36.820607
-360,36,36.96406
-440,40,37.085565
-480,42,37.221539
-80,22,37.328686
0,18,37.426234
0,18,37.466419
-380,37,37.595816
-320,34,37.740419
-520,44,37.921184
-120,24,38.028998
-260,31,38.172737
-480,42,38.353357
-340,35,38.463974
80,14,38.531443
-100,23,38.631042
-520,44,38.768451
-220,29,38.879664
-40,20,38.980724
-400,38,39.132974
-400,38,55.246164
-440,40,55.416727
-20,19,55.522789
-360,36,55.654401
-160,26,55.771655
60,15,55.83952
-220,29,55.959507
-340,35,56.086991
-40,20,56.177817
-140,25,56.292177
-720,54,56.467813
-360,36,56.608614
60,15,56.680035
-280,32,56.84334
-60,21,56.941678
-100,23,57.042256
-340,35,57.22161
-20,19,57.292097
80,14,57.364808
-40,20,57.471827
-160,26,57.544101
60,15,57.647613
-380,37,57.756552
-100,23,57.886844
-200,28,58.031163
-140,25,58.149532
20,17,58.216787
-780,57,58.391502
-260,31,58.486416
60,15,58.561012
-180,27,58.693646
60,15,58.743377
-20,19,58.827306
60,15,58.8609
-320,34,59.041774
-400,38,59.220574
-120,24,59.326755
-500,43,59.500988
-440,40,59.6476
0,18,59.698421
-120,24,59.828438
-100,23,59.922101
-220,29,60.026783
-720,54,60.238784
0,18,60.291829
-40,20,60.383765
-380,37,60.545411
-970,65,60.772625
20,17,60.84831
-680,52,61.056492
-180,27,61.179352
-180,27,61.284364
-180,27,61.368122
-140,25,61.475837
-200,28,61.583416
-140,25,61.70359
-460,41,61.852777
80,14,61.915848
-140,25,61.99762
-60,21,62.109892
-220,29,62.195309
-180,27,62.284281
-140,25,62.425829
-120,24,62.52038
-760,56,62.673961
0,18,62.734283
-100,23,62.817456
-180,27,62.939191
-60,21,63.036502
60,15,63.08321
-780,57,63.336745
-500,43,63.523385
-240,30,80.26601
-40,20,80.358832
20,17,80.420732
-400,38,80.636754
40,16,80.689338
40,16,80.787698
100,13,80.859365
-460,41,81.064003
-280,32,81.179238
-260,31,81.324974
-260,31,81.474029
-240,30,81.601213
20,17,81.663732
-500,43,81.890995
-400,38,82.089445
-240,30,82.214298
-60,21,82.277692
40,16,82.36783
-60,21,82.456101
-80,22,82.569853
0,18,82.663446
-340,35,82.809574
