#{"t_start": 1692020210.5754473, "env_id": null}
r,l,t
-460,41,111.147551
-40,20,111.231021
-360,36,111.375374
-80,22,111.4771
20,17,111.546163
-120,24,111.660726
80,14,111.716629
0,18,111.796711
-280,32,111.912173
0,18,111.983431
-600,48,112.203878
-220,29,112.295672
-260,31,112.49455
-140,25,112.587013
-140,25,112.704674
-60,21,112.772734
40,16,112.881644
-160,26,113.00797
-920,64,113.228275
-280,32,113.382094
-100,23,113.462395
-200,28,113.598871
-180,27,113.718187
100,13,113.767787
-80,22,113.849805
-60,21,113.966536
-340,35,114.143383
-620,49,114.352604
-60,21,114.420902
-180,27,114.524929
-60,21,114.639862
20,17,114.709726
-20,19,114.785387
-320,34,114.931854
0,18,114.98752
-60,21,131.478294
-460,41,131.638279
-960,66,131.920353
-300,33,132.02685
-440,40,132.176883
-40,20,132.26936
-1200,78,132.600121
-420,39,132.743121
20,17,132.869539
-80,22,132.975462
100,13,133.020686
0,18,133.119915
40,16,133.205012
60,15,133.293831
-60,21,133.39599
-40,20,133.46857
-160,26,133.546062
-140,25,133.607035
0,18,133.720463
-60,21,133.814895
-20,19,133.914689
-40,20,133.994444
20,17,134.099716
-40,20,134.176332
60,15,134.251175
-160,26,134.400429
-360,36,134.505331
-80,22,134.618522
-40,20,134.681039
100,13,134.752933
-180,27,134.868745
-500,43,135.041112
-640,50,135.269154
-160,26,135.380945
-20,19,135.456793
-780,57,135.738544
-1010,67,135.992658
-220,29,136.104159
-120,24,136.228372
-40,20,136.321627
-20,19,136.400952
80,14,136.469474
-40,20,136.588939
0,18,136.671554
-120,24,136.798327
60,15,136.868171
-580,47,137.037861
-120,24,137.157626
-280,32,137.303323
60,15,137.373143
-940,65,137.610147
-780,57,137.846263
-40,20,137.93083
-140,25,138.054664
-520,44,138.227562
-420,39,138.393186
80,14,138.438199
-260,31,138.58379
-140,25,138.679604
-140,25,138.80166
-700,53,139.033953
-380,37,139.208247
-40,20,139.340501
-1070,70,139.592188
-60,21,139.717224
-180,27,139.855497
-40,20,139.944916
-160,26,140.067318
60,15,140.132874
-120,24,140.228531
-260,31,140.332628
-440,40,156.927047
60,15,156.977556
-80,22,157.096089
20,17,157.15826
100,13,157.239826
120,12,157.289163
-60,21,157.397003
-480,42,157.58855
-460,41,157.736049
100,13,157.811547
-200,28,157.898474
20,17,157.983319
-80,22,158.071641
-60,21,158.175158
-400,38,158.294542
-200,28,158.396719
-140,25,158.528229
-140,25,158.634858
-200,28,158.744078
-200,28,158.880713
-520,44,159.02835
-120,24,159.104561
-950,64,159.354131
-1140,75,159.652697
-240,30,159.785092
-340,35,159.937913
-200,28,160.089033
-280,32,160.218913
-260,31,160.349393
-440,40,160.515138
-400,38,160.715685
60,15,160.771257
-280,32,160.879352
20,17,160.965806
-180,27,161.091342
-460,41,161.253455
-260,31,161.40312
40,16,161.476116
-60,21,161.55284
-60,21,161.630013
-620,49,161.829384
-200,28,161.950618
0,18,162.035375
-380,37,162.159426
-40,20,162.269801
-180,27,162.364829
20,17,162.416545
-340,35,162.555698
-40,20,162.656288
-120,24,162.731729
-60,21,162.840386
60,15,162.922477
-60,21,163.002365
-40,20,163.105019
-860,61,163.354274
-340,35,163.495569
-180,27,163.59519
20,17,163.689041
-600,48,163.933809
60,15,163.993652
-400,38,164.191091
-200,28,164.303242
40,16,164.375867
-80,22,164.484173
-200,28,164.631693
0,18,164.717615
-40,20,164.789278
-60,21,164.898713
60,15,164.952547
-40,20,165.091113
-40,20,165.164386
0,18,165.262524
-100,23,165.370513
0,18,165.443185
