#{"t_start": 1692020210.576476, "env_id": null}
r,l,t
-200,28,5.989611
-260,31,6.121789
-100,23,6.221027
-140,25,6.328684
0,18,6.431922
-140,25,6.540884
-160,26,6.640722
-300,33,6.768099
-40,20,6.825748
20,17,6.880381
-200,28,6.992091
40,16,7.048047
-80,22,7.149461
-520,44,7.336232
-160,26,7.42861
-140,25,7.535828
20,17,7.611921
-480,42,7.841632
20,17,7.896878
40,16,7.968138
40,16,8.047649
-220,29,8.159924
-160,26,8.269204
-300,33,8.432928
40,16,8.513764
-300,33,8.650623
-220,29,8.758998
-20,19,8.833678
-160,26,8.973822
-240,30,9.091266
-420,39,9.23969
-460,41,9.385922
100,13,9.427454
0,18,9.542019
-220,29,9.638054
-560,46,9.8256
-280,32,9.96481
-180,27,10.080737
-140,25,10.187072
0,18,10.278706
-1000,68,10.497521
-240,30,10.690702
-520,44,10.860666
-20,19,10.975089
-60,21,11.076208
-180,27,11.182184
-180,27,11.285643
-40,20,11.360872
-320,34,11.498859
-200,28,11.646211
-220,29,11.798617
-120,24,11.901866
-140,25,11.988993
60,15,12.047981
-40,20,12.115884
-460,41,12.310652
-80,22,12.418581
-220,29,12.561885
-1020,69,12.849588
-60,21,12.959655
20,17,13.040364
-480,42,13.244082
-80,22,13.354046
-120,24,13.437777
-340,35,13.608637
-80,22,13.716675
-300,33,13.84247
0,18,13.95
20,17,14.009277
-360,36,14.178016
-620,49,14.390375
-300,33,14.494572
-800,58,30.938242
-240,30,31.040317
-840,60,31.25989
-160,26,31.323959
-700,53,31.525676
-60,21,31.578651
-200,28,31.688019
-120,24,31.831105
-540,45,32.034813
60,15,32.09235
-280,32,32.272659
-540,45,32.43941
-460,41,32.597134
-260,31,32.75752
-280,32,32.864113
-440,40,33.008947
-220,29,33.126641
-240,30,33.254352
-40,20,33.332798
-480,42,33.505296
-220,29,33.68282
20,17,33.772776
-180,27,33.931552
-380,37,34.074368
60,15,34.152166
-300,33,34.253099
-80,22,34.397787
-160,26,34.504037
-800,58,34.795627
-260,31,34.910882
-200,28,35.075492
-1100,73,35.39034
-140,25,35.520999
-100,23,35.629973
-200,28,35.724105
-500,43,35.875806
-80,22,35.980012
-220,29,36.105063
-180,27,36.214666
-80,22,36.296596
-160,26,36.407202
-100,23,36.482071
-80,22,36.57006
-80,22,36.649551
-220,29,36.727491
-200,28,36.811142
0,18,36.890201
0,18,36.954033
-200,28,37.05047
-160,26,37.123304
-320,34,37.244654
60,15,37.296419
80,14,37.387962
-1270,80,37.660663
-20,19,37.759802
-320,34,37.896262
-460,41,38.086446
-200,28,38.225537
-800,58,38.41517
40,16,38.482654
80,14,38.545714
60,15,38.611888
-680,52,38.792084
-780,57,39.017101
80,14,39.085382
-120,24,39.191577
-60,21,55.2187
-1440,90,55.606914
-500,43,55.792975
100,13,55.873201
-120,24,55.968003
-340,35,56.100937
